post,true_intents,bart_pred,xlm_pred,jaccard_bart,jaccard_xlm,precision@1_bart,precision@1_xlm
Markets are insane this week. Lost 20% on my portfolio.,"['stocks investing', 'debt stress']","['stocks investing', 'seeking advice', 'market anxiety', 'financial management', 'complaining', 'mutual fund interest', 'feedback to provider', 'social sharing']","['market anxiety', 'complaining', 'seeking advice', 'savings planning', 'stocks investing', 'financial management', 'retirement planning', 'mutual fund interest', 'SIP planning', 'income insecurity', 'crypto investing', 'diversification intent', 'risk mitigation', 'transaction dispute', 'premium card curiosity', 'insurance interest', 'luxury']",0.1111111111111111,0.05555555555555555,1,0
Thinking about opening a Roth IRA. Any suggestions?,"['retirement planning', 'financial literacy']","['seeking advice', 'retirement planning', 'savings planning', 'financial management', 'risk mitigation', 'financial literacy', 'motivation', 'wealth building', 'diversification intent', 'account access issue']","['seeking advice', 'savings planning', 'retirement planning', 'financial management', 'diversification intent', 'wealth building', 'mutual fund interest', 'celebrating', 'income insecurity', 'insurance interest', 'risk mitigation', 'complaining', 'stocks investing', 'luxury', 'self-improvement', 'motivation', 'debt stress', 'feedback to provider', 'market anxiety', 'transaction dispute', 'premium card curiosity', 'entertainment']",0.2,0.043478260869565216,0,0
"Bitcoin seems risky right now, better to wait and watch.","['crypto investing', 'risk mitigation', 'market anxiety']","['seeking advice', 'crypto investing', 'market anxiety', 'risk mitigation', 'financial management', 'feedback to provider', 'diversification intent', 'motivation', 'financial literacy', 'SIP planning', 'savings planning']","['seeking advice', 'risk mitigation', 'crypto investing', 'complaining', 'premium card curiosity', 'market anxiety', 'savings planning', 'financial management', 'income insecurity', 'transaction dispute', 'SIP planning', 'diversification intent', 'product comparison', 'feedback to provider', 'mutual fund interest', 'stocks investing', 'account access issue', 'celebrating', 'retirement planning', 'self-improvement']",0.2727272727272727,0.15,0,0
Just paid off my student loans! Finally debt free!,"['debt stress', 'debt stress', 'celebrating']","['education', 'celebrating', 'financial management', 'motivation', 'feedback to provider', 'wealth building', 'EMI concern', 'self-improvement', 'social sharing', 'luxury', 'risk mitigation', 'financial literacy']","['celebrating', 'financial management', 'self-improvement', 'education', 'savings planning', 'motivation', 'seeking advice', 'budgeting concern', 'diversification intent', 'wealth building', 'complaining', 'SIP planning', 'feedback to provider', 'risk mitigation', 'financial literacy', 'luxury', 'transaction dispute', 'debt stress', 'social sharing', 'wellness', 'EMI concern', 'mutual fund interest']",0.07692307692307693,0.09090909090909091,0,1
Are ETFs better than mutual funds for long term investing?,"['wealth building', 'financial management']","['seeking advice', 'product comparison', 'financial management', 'financial literacy', 'retirement planning', 'diversification intent', 'risk mitigation', 'wealth building', 'savings planning', 'premium card curiosity', 'feedback to provider']","['seeking advice', 'product comparison', 'transaction dispute', 'retirement planning', 'savings planning', 'financial management', 'diversification intent', 'wealth building', 'stocks investing', 'celebrating', 'risk mitigation', 'complaining', 'feedback to provider', 'motivation', 'self-improvement', 'financial literacy', 'income insecurity', 'premium card curiosity', 'mutual fund interest', 'market anxiety', 'SIP planning', 'luxury']",0.18181818181818182,0.09090909090909091,0,0
Worried about inflation and how to save better.,"['savings planning', 'budgeting concern', 'budgeting concern']","['seeking advice', 'financial management', 'savings planning', 'self-improvement', 'motivation', 'budgeting concern', 'EMI concern', 'feedback to provider', 'complaining', 'market anxiety', 'financial literacy', 'risk mitigation']","['seeking advice', 'complaining', 'budgeting concern', 'savings planning', 'market anxiety', 'financial management', 'risk mitigation', 'diversification intent', 'income insecurity', 'self-improvement', 'retirement planning', 'debt stress', 'SIP planning', 'social sharing', 'wealth building', 'mutual fund interest', 'insurance interest', 'stocks investing', 'crypto investing', 'financial literacy', 'luxury', 'food']",0.16666666666666666,0.09090909090909091,0,0
Credit card debt is piling up. Need budgeting help.,"['debt stress', 'budgeting concern', 'debt stress']","['credit card interest', 'EMI concern', 'budgeting concern', 'seeking advice', 'debt stress', 'financial management', 'financial literacy', 'feedback to provider', 'complaining', 'premium card curiosity', 'travel card interest', 'transaction dispute', 'self-improvement', 'motivation', 'account access issue', 'risk mitigation']","['seeking advice', 'debt stress', 'budgeting concern', 'financial management', 'complaining', 'bank fee complaint', 'savings planning', 'credit card interest', 'EMI concern', 'financial literacy', 'premium card curiosity', 'income insecurity', 'SIP planning', 'feedback to provider', 'transaction dispute', 'celebrating']",0.125,0.125,0,0
Planning to retire early by 45. Tracking FIRE movement.,"['retirement planning', 'financial management']","['retirement planning', 'financial management', 'risk mitigation', 'career growth', 'self-improvement', 'wealth building', 'motivation', 'feedback to provider', 'diversification intent', 'savings planning']","['retirement planning', 'seeking advice', 'fitness', 'motivation', 'savings planning', 'self-improvement', 'risk mitigation', 'SIP planning', 'celebrating', 'market anxiety', 'social sharing', 'income insecurity', 'complaining', 'diversification intent', 'fashion', 'wealth building']",0.2,0.058823529411764705,1,1
Is crypto staking worth it for passive income?,"['crypto investing', 'wealth building']","['crypto investing', 'seeking advice', 'wealth building', 'risk mitigation', 'financial management', 'EMI concern', 'diversification intent', 'feedback to provider', 'motivation']","['seeking advice', 'crypto investing', 'transaction dispute', 'diversification intent', 'celebrating', 'income insecurity', 'SIP planning', 'motivation', 'complaining', 'self-improvement', 'feedback to provider', 'market anxiety', 'luxury']",0.2222222222222222,0.07142857142857142,1,0
Got a call from a wealth manager. Should I go for it?,"['wealth building', 'financial management']","['seeking advice', 'financial management', 'motivation', 'feedback to provider', 'diversification intent', 'career growth', 'wealth building', 'risk mitigation', 'mutual fund interest', 'retirement planning', 'savings planning']","['seeking advice', 'financial management', 'wealth building', 'savings planning', 'feedback to provider', 'retirement planning', 'motivation', 'luxury', 'transaction dispute', 'career growth', 'financial literacy', 'mutual fund interest', 'celebrating', 'stocks investing', 'diversification intent', 'premium card curiosity', 'SIP planning', 'wellness', 'crypto investing', 'income insecurity']",0.18181818181818182,0.1,0,0
Had the best sushi night with friends 🍣❤️,"['food', 'social sharing']","['food', 'celebrating', 'luxury', 'social sharing', 'entertainment', 'feedback to provider', 'diversification intent']","['food', 'celebrating', 'motivation', 'seeking advice', 'entertainment', 'social sharing', 'luxury', 'diversification intent', 'wellness', 'complaining', 'self-improvement', 'wealth building', 'income insecurity', 'feedback to provider']",0.2857142857142857,0.14285714285714285,1,1
Booked a weekend at a luxury spa resort!,"['travel', 'luxury', 'wellness']","['luxury', 'travel', 'wellness', 'travel card interest', 'celebrating', 'premium card curiosity', 'wealth building', 'motivation', 'feedback to provider', 'diversification intent', 'risk mitigation', 'SIP planning', 'social sharing']","['luxury', 'travel', 'wellness', 'celebrating', 'motivation', 'wealth building', 'seeking advice', 'diversification intent', 'SIP planning', 'travel card interest', 'budgeting concern', 'feedback to provider', 'premium card curiosity', 'complaining', 'self-improvement', 'transaction dispute', 'career growth', 'entertainment', 'retirement planning', 'social sharing']",0.23076923076923078,0.15,1,1
Outfit of the day! Feeling fab 💃 #fashion,"['fashion', 'fashion']","['celebrating', 'fashion', 'social sharing', 'luxury']","['fashion', 'celebrating', 'motivation', 'diversification intent', 'self-improvement', 'seeking advice', 'entertainment', 'social sharing', 'luxury']",0.25,0.1111111111111111,0,1
Workout grind never stops 🏋️‍♂️ #fitnessgoals,"['fitness', 'self-improvement']","['fitness', 'motivation', 'self-improvement', 'social sharing']","['self-improvement', 'motivation', 'seeking advice', 'fitness', 'wellness', 'celebrating']",0.5,0.3333333333333333,1,1
Chilling by the beach with a good book 🏖️,"['travel', 'education', 'wellness']","['luxury', 'wellness', 'entertainment', 'celebrating']","['wellness', 'travel', 'entertainment', 'celebrating', 'seeking advice', 'self-improvement', 'motivation', 'luxury', 'diversification intent', 'education', 'fitness', 'risk mitigation', 'financial literacy', 'financial management', 'feedback to provider', 'wealth building']",0.16666666666666666,0.1875,0,1
Just attended the biggest concert of the year 🎤🎉,"['entertainment', 'entertainment']","['entertainment', 'celebrating', 'social sharing', 'luxury', 'feedback to provider', 'diversification intent']","['entertainment', 'celebrating', 'motivation', 'seeking advice', 'diversification intent', 'luxury', 'wealth building', 'travel', 'career growth']",0.16666666666666666,0.1111111111111111,1,1
"New year, new goals! Time to hustle 💼🔥","['motivation', 'self-improvement']","['motivation', 'self-improvement', 'celebrating', 'diversification intent', 'career growth', 'social sharing', 'fitness', 'wellness', 'feedback to provider', 'travel', 'wealth building', 'SIP planning', 'savings planning', 'financial management']","['celebrating', 'motivation', 'seeking advice', 'self-improvement', 'diversification intent', 'career growth', 'travel', 'wealth building', 'mutual fund interest', 'fitness', 'transaction dispute', 'SIP planning', 'stocks investing', 'insurance interest', 'premium card curiosity', 'crypto investing', 'financial literacy', 'travel card interest', 'income insecurity', 'savings planning', 'financial management', 'account access issue', 'fashion', 'luxury', 'market anxiety', 'education']",0.14285714285714285,0.07692307692307693,1,0
Back to school shopping spree 🛍️📚,"['credit card interest', 'education']","['celebrating', 'motivation', 'diversification intent']","['celebrating', 'diversification intent', 'luxury', 'motivation', 'seeking advice', 'fashion', 'entertainment', 'wealth building']",0.0,0.0,0,0
Homemade pasta and wine night 🍝🍷,"['food', 'celebrating']","['food', 'celebrating', 'luxury', 'entertainment', 'diversification intent', 'social sharing', 'motivation']","['food', 'celebrating', 'entertainment', 'motivation', 'diversification intent', 'seeking advice', 'self-improvement', 'wellness', 'luxury', 'wealth building', 'product comparison', 'complaining', 'career growth', 'income insecurity', 'risk mitigation']",0.2857142857142857,0.13333333333333333,1,1
Feeling blessed and motivated this morning 🌞,"['motivation', 'celebrating']","['celebrating', 'motivation', 'wellness', 'luxury', 'self-improvement', 'social sharing', 'diversification intent', 'career growth', 'fitness', 'feedback to provider', 'wealth building', 'travel', 'mutual fund interest', 'education', 'SIP planning', 'travel card interest']","['wellness', 'motivation', 'celebrating', 'self-improvement', 'diversification intent', 'wealth building', 'career growth', 'fitness', 'mutual fund interest', 'seeking advice', 'travel', 'product comparison', 'social sharing', 'risk mitigation', 'savings planning', 'insurance interest', 'luxury', 'financial management', 'crypto investing', 'feedback to provider', 'premium card curiosity', 'transaction dispute', 'stocks investing', 'retirement planning', 'entertainment', 'SIP planning', 'account access issue', 'financial literacy', 'travel card interest', 'fashion', 'EMI concern', 'food', 'education', 'income insecurity']",0.125,0.058823529411764705,1,0
