intent,related_intent,score
feedback to provider,luxury,0.36
feedback to provider,product comparison,0.155
feedback to provider,social sharing,0.863
feedback to provider,diversification intent,0.263
feedback to provider,travel,0.16
feedback to provider,celebrating,0.721
feedback to provider,motivation,0.382
feedback to provider,seeking advice,1.0
feedback to provider,self-improvement,0.192
feedback to provider,wellness,0.043
feedback to provider,entertainment,0.449
feedback to provider,complaining,0.38
feedback to provider,premium card curiosity,0.139
feedback to provider,account access issue,0.087
feedback to provider,transaction dispute,0.204
feedback to provider,travel card interest,0.021
feedback to provider,mutual fund interest,0.021
feedback to provider,fashion,0.032
feedback to provider,fitness,0.079
feedback to provider,risk mitigation,0.349
feedback to provider,food,0.081
feedback to provider,career growth,0.021
feedback to provider,EMI concern,0.075
feedback to provider,financial management,0.176
feedback to provider,stocks investing,0.123
feedback to provider,crypto investing,0.064
feedback to provider,SIP planning,0.032
feedback to provider,budgeting concern,0.032
feedback to provider,income insecurity,0.032
luxury,feedback to provider,0.603
luxury,product comparison,0.125
luxury,social sharing,0.902
luxury,career growth,0.107
luxury,entertainment,0.751
luxury,celebrating,1.0
luxury,fashion,0.268
luxury,diversification intent,0.241
luxury,self-improvement,0.089
luxury,food,0.071
luxury,seeking advice,0.125
luxury,premium card curiosity,0.188
luxury,motivation,0.071
luxury,travel card interest,0.089
luxury,mutual fund interest,0.018
luxury,travel,0.326
luxury,fitness,0.018
luxury,risk mitigation,0.036
luxury,wealth building,0.276
luxury,wellness,0.036
luxury,financial management,0.179
luxury,complaining,0.071
luxury,crypto investing,0.107
luxury,credit card interest,0.054
product comparison,feedback to provider,1.0
product comparison,luxury,0.483
product comparison,social sharing,0.621
product comparison,diversification intent,0.828
product comparison,food,0.207
product comparison,celebrating,0.345
product comparison,fashion,0.207
product comparison,entertainment,0.345
product comparison,travel,0.138
product comparison,motivation,0.069
product comparison,complaining,0.069
product comparison,self-improvement,0.069
product comparison,risk mitigation,0.454
product comparison,transaction dispute,0.069
product comparison,wealth building,0.069
product comparison,insurance interest,0.178
product comparison,seeking advice,0.545
product comparison,stocks investing,0.166
product comparison,premium card curiosity,0.207
social sharing,feedback to provider,0.807
social sharing,luxury,0.504
social sharing,product comparison,0.09
social sharing,celebrating,1.0
social sharing,entertainment,0.651
social sharing,motivation,0.464
social sharing,diversification intent,0.182
social sharing,travel,0.186
social sharing,fashion,0.07
social sharing,complaining,0.139
social sharing,food,0.06
social sharing,fitness,0.01
social sharing,seeking advice,0.301
social sharing,self-improvement,0.17
social sharing,premium card curiosity,0.14
social sharing,risk mitigation,0.15
social sharing,account access issue,0.02
social sharing,education,0.02
social sharing,mutual fund interest,0.01
social sharing,career growth,0.02
social sharing,wellness,0.07
social sharing,travel card interest,0.01
social sharing,EMI concern,0.01
social sharing,financial management,0.01
social sharing,transaction dispute,0.02
social sharing,wealth building,0.01
career growth,entertainment,0.162
career growth,luxury,0.486
career growth,celebrating,0.243
career growth,fashion,0.081
career growth,risk mitigation,0.081
career growth,self-improvement,0.972
career growth,social sharing,0.162
career growth,diversification intent,1.0
career growth,motivation,0.405
career growth,account access issue,0.081
career growth,feedback to provider,0.162
career growth,travel,0.648
career growth,financial management,0.433
career growth,wealth building,0.486
career growth,credit card interest,0.243
career growth,transaction dispute,0.243
career growth,seeking advice,0.729
career growth,stocks investing,0.243
career growth,travel card interest,0.243
entertainment,career growth,0.026
entertainment,luxury,0.537
entertainment,celebrating,1.0
entertainment,motivation,0.259
entertainment,social sharing,0.833
entertainment,food,0.1
entertainment,feedback to provider,0.538
entertainment,complaining,0.318
entertainment,fashion,0.153
entertainment,self-improvement,0.115
entertainment,travel,0.097
entertainment,premium card curiosity,0.147
entertainment,diversification intent,0.089
entertainment,seeking advice,0.217
entertainment,product comparison,0.064
entertainment,risk mitigation,0.038
entertainment,account access issue,0.013
entertainment,fitness,0.013
entertainment,wellness,0.026
entertainment,wealth building,0.013
entertainment,stocks investing,0.147
celebrating,entertainment,0.781
