product_id,title,description,tags
P001,Premium Travel Credit Card,"Credit card with lounge access, hotel discounts, and international perks.","travel, luxury, credit card interest"
P002,Dining Cashback Card,Earn up to 10% cashback on food & dining spends.,"food, social sharing, budgeting concern"
P003,Wealth Management Advisory,Personalized wealth planning with a dedicated advisor.,"financial management, wealth building"
P004,Budget Planning Tool,Smart budgeting app to track and control your expenses.,"budgeting concern, debt stress"
P005,SIP Mutual Fund Plan,Start investing with as low as ₹500/month in diversified mutual funds.,"savings planning, SIP planning"
P006,Risk-Adjusted Portfolio,Invest based on your risk profile and market volatility.,"risk mitigation, market anxiety"
P007,Loan Restructuring Support,Get help with restructuring or refinancing your existing loans.,"EMI concern, debt stress"
P008,Lifestyle Concierge Service,Exclusive lifestyle management for elite customers.,"luxury, fashion, celebrating"
P009,Crypto Risk Education Guide,Understand crypto risks and safe investing strategies.,"crypto investing, risk mitigation"
P010,Retirement Calculator Tool,Calculate your retirement corpus needs and build a plan.,"retirement planning, financial literacy"
P011,Insurance Comparison Portal,"Compare and buy insurance plans for life, health, travel.","insurance interest, income insecurity"
P012,Stock Screener & Tracker,"Analyze, track, and screen your favorite stocks.","stocks investing, product comparison"
P013,EMI Optimization App,Optimize your loan EMIs for better cash flow.,"budgeting concern, EMI concern"
P014,Crypto Diversification Portfolio,"Curated crypto portfolios across BTC, ETH, and altcoins.","crypto investing, diversification intent"
P015,Financial Literacy Blog Series,"Weekly expert blogs on finance, budgeting, investing.","financial literacy, education"
P016,Travel Insurance Offers,Affordable travel insurance with COVID-19 coverage.,"travel, insurance interest"
P017,Educational Loan Planner,"Plan your education loans with EMIs, interest tracking.","education, savings planning"
P018,Fashion Deals Newsletter,Weekly fashion trends and brand offers direct to your inbox.,"fashion, shopping, luxury"
