Caption,clean_caption,intents,sentiment,sentiment_confidence,routed_model
🔫🔫 ,:waterpistol::waterpistol:,"['product comparison', 'feedback to provider', 'luxury', 'social sharing']",neutral,0.831,roberta
Loved working with on this cover shoot! ,loved working with on this cover shoot,"['career growth', 'luxury', 'entertainment']",positive,0.979,roberta
Happy St. Patricks day 💚🍀 ,happy st patricks day :greenheart::fourleafclover:,"['celebrating', 'social sharing', 'motivation', 'entertainment']",positive,0.969,roberta
"🎵🎶 Remember who you are...No you're not perfect but you're not your mistakes 🎵🎶 - Kanye ""Only One"" ",:musicalnote::musicalnotes: remember who you areno youre not perfect but youre not your mistakes :musicalnote::musicalnotes: kanye only one,"['self-improvement', 'seeking advice', 'education', 'motivation']",neutral,0.731,roberta
Calabasas girl in Turks ,calabasas girl in turks,"['travel', 'diversification intent', 'social sharing', 'feedback to provider']",positive,1.0,finbert
"Like mother like daughter...we're both wearing our Nicole by OPI color ""smile for the glam-era"" ",like mother like daughterwere both wearing our nicole by opi color smile for the glamera,"['luxury', 'celebrating', 'fashion', 'social sharing']",positive,0.796,roberta
For her ,for her,"['seeking advice', 'celebrating', 'motivation', 'feedback to provider']",neutral,0.71,roberta
Tears are healthy ,tears are healthy,"['wellness', 'self-improvement', 'feedback to provider', 'celebrating']",positive,0.655,roberta
In this kinda mood today ,in this kinda mood today,"['social sharing', 'celebrating', 'motivation', 'complaining']",neutral,0.764,roberta
Holiday Season 🎄✨ ,holiday season :christmastree::sparkles:,"['celebrating', 'entertainment', 'luxury']",neutral,0.84,roberta
last nights show! ,last nights show,"['entertainment', 'social sharing', 'luxury', 'celebrating']",neutral,0.764,roberta
Hair by and makeup by wearing none other than ,hair by and makeup by wearing none other than,"['luxury', 'fashion', 'diversification intent', 'self-improvement']",positive,1.0,finbert
birthday girls 🎉 ,birthday girls :partypopper:,"['celebrating', 'social sharing', 'entertainment', 'food']",neutral,0.809,roberta
birthday behavior ,birthday behavior,"['celebrating', 'social sharing']",neutral,0.732,roberta
🐰 ,:rabbitface:,"['social sharing', 'entertainment', 'feedback to provider']",neutral,0.632,roberta
drama is for you ,drama is for you,['entertainment'],neutral,0.713,roberta
Me and my girl Kate :) she's so strong ,me and my girl kate : shes so strong,"['celebrating', 'social sharing', 'fitness', 'motivation']",positive,0.963,roberta
🧠 ,:brain:,"['feedback to provider', 'seeking advice']",neutral,0.656,roberta
La Ferrari ... to Jamba Juice 🥤 ,la ferrari to jamba juice :cupwithstraw:,"['food', 'product comparison', 'diversification intent', 'luxury']",positive,1.0,finbert
Happy Birthday I honestly can’t believe the life we have lived! It’s such a dream to go through it all with having a sister like you by our side! You have taught me so much throughout life. You’re such an amazing mom and friend! Can’t wait to celebrate you tonight! I love you beyond what you could imagine ✨ ,happy birthday i honestly cant believe the life we have lived its such a dream to go through it all with having a sister like you by our side you have taught me so much throughout life youre such an amazing mom and friend cant wait to celebrate you tonight i love you beyond what you could imagine :sparkles:,"['celebrating', 'social sharing', 'luxury', 'feedback to provider']",positive,0.993,roberta
